name,new-domain,new-check,new-base,old-domain,old-check,old-base,old-uri,new-uri,old-fullurl,new-fullurl,incoming-uri,redirect-uri
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,requirements,quick-start/requirements,,,en/docs/cells/v4/requirements,cells-v4/admin-guide/quick-start/requirements
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,install-static-binaries,quick-start/cells-installation/install-static-binaries,,,en/docs/cells/v4/install-static-binaries,cells-v4/admin-guide/quick-start/cells-installation/install-static-binaries
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,docker,quick-start/cells-installation/docker,,,en/docs/cells/v4/docker,cells-v4/admin-guide/quick-start/cells-installation/docker
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,open-virtual-format,quick-start/cells-installation/open-virtual-format,,,en/docs/cells/v4/open-virtual-format,cells-v4/admin-guide/quick-start/cells-installation/open-virtual-format
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,vmware,quick-start/cells-installation/vmware,,,en/docs/cells/v4/vmware,cells-v4/admin-guide/quick-start/cells-installation/vmware
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,amazon-ami,quick-start/cells-installation/amazon-ami,,,en/docs/cells/v4/amazon-ami,cells-v4/admin-guide/quick-start/cells-installation/amazon-ami
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,quick-admin-tour,quick-start/quick-admin-tour,,,en/docs/cells/v4/quick-admin-tour,cells-v4/admin-guide/quick-start/quick-admin-tour
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,sharing-features,quick-start/sharing-features,,,en/docs/cells/v4/sharing-features,cells-v4/admin-guide/quick-start/sharing-features
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-only-office,quick-start/add-collaboration-tools/ent-only-office,,,en/docs/cells/v4/ent-only-office,cells-v4/admin-guide/quick-start/add-collaboration-tools/ent-only-office
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,collabora-online,quick-start/add-collaboration-tools/collabora-online,,,en/docs/cells/v4/collabora-online,cells-v4/admin-guide/quick-start/add-collaboration-tools/collabora-online
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,connect-desktop-sync,quick-start/connect-desktop-sync,,,en/docs/cells/v4/connect-desktop-sync,cells-v4/admin-guide/quick-start/connect-desktop-sync
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,mobile-apps,quick-start/mobile-apps,,,en/docs/cells/v4/mobile-apps,cells-v4/admin-guide/quick-start/mobile-apps
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,glossary,quick-start/glossary,,,en/docs/cells/v4/glossary,cells-v4/admin-guide/quick-start/glossary
